,dataset,model,max_accuracy,mean_accuracy,std_accuracy
0,AESDD,HUBERT_ASR_LARGE,82.6086938381195,"[46.1835748  49.8550725  54.58937228 58.93719673 61.54589415 61.83574796
 66.66666865 68.59903336 68.69565129 69.27536249 69.95169044 69.95169163
 74.49275374 72.36714959 62.8019309  61.06280088 63.86473417 67.14975834
 68.69565129 65.21739125 65.99033833 60.289855   57.39130437 50.53139985
 43.6714977 ]","[ 3.38302231  0.83114211  6.72175074  3.38853684  2.60332106  2.97797836
  3.60219391  1.95637236  4.6577665   2.5489684   2.61762634  6.29429816
  5.17066294  7.69557753  6.88638859  9.18941626  6.7383947  10.59282669
  4.01169779  6.98731902  4.00238052  7.70164072  5.19767123  5.83402065
  2.6389376 ]"
1,AESDD,HUBERT_BASE,72.9468584060669,"[45.02415478 48.69565248 53.62318873 58.5507226  62.70531297 62.12560415
 65.02415419 69.08212543 64.15458918 59.7101438  62.22222209 58.64734173
 59.22705293]","[0.8311428  4.24901118 3.14566641 2.95279411 3.44861102 4.59927676
 1.24483957 3.27648702 4.9962062  6.05389312 2.63539698 3.83564042
 3.49165567]"
2,AESDD,HUBERT_LARGE,80.19323945045471,"[44.63768125 55.07246375 60.09661794 61.06280088 59.03381586 60.
 67.14975715 62.31884003 70.7246387  66.08695626 70.1449275  65.89372039
 72.6570034  73.04347873 73.62318873 64.2512095  68.21256042 67.72946835
 68.69565248 64.73430037 62.99516916 65.314008   61.93236828 69.66183662
 61.73913002]","[2.7430085  2.26590088 1.97063558 1.89825014 4.95869592 2.88887276
 3.21900098 6.53157456 2.82680985 4.80573165 4.28183988 6.3694871
 4.34889956 3.73452048 5.17246921 4.7529955  7.07626468 4.68773283
 4.71750998 4.88854605 6.02297444 3.38026116 5.99812479 5.10708291
 4.97748461]"
3,AESDD,WAV2VEC2_ASR_LARGE_960H,79.22705411911011,"[41.35265708 54.49275374 58.06763291 63.18840504 64.25120831 62.41545916
 62.12560177 64.73430037 72.27053046 68.69565248 75.55555582 72.94686079
 69.66183662 69.66183424 67.82608747 69.08212543 66.7632854  66.37681246
 64.05797124 57.00483084 57.97101498 49.8550719  42.8019321  35.36231875
 33.91304314]","[2.45570358 4.46330753 3.55524163 3.64598361 2.97797836 5.66186895
 5.17246727 7.0139877  4.5070172  5.88024153 2.74300877 2.51949784
 3.38026174 3.33857954 3.15455674 1.46528946 2.0128162  5.41924693
 4.35961861 4.1331886  3.0091629  3.95309565 4.4339298  2.14745028
 1.11843827]"
4,AESDD,WAV2VEC2_BASE,69.5652186870575,"[41.73913062 54.10627961 58.64734292 57.68115997 61.64251208 64.73430037
 58.45410585 57.58454084 60.96618295 55.36231935 61.93236589 50.62801957
 51.40096664]","[ 4.12866812  1.10161973  5.31488783  4.25120706  3.66131353  2.64600337
  5.4740931   7.4239129   2.05867387 10.54690146  2.16907793  2.82350521
  2.08570339]"
5,AESDD,WAV2VEC2_LARGE,79.71014380455017,"[39.32367146 56.81159496 59.03381646 65.50724745 62.02898502 59.710145
 61.83575034 62.70531416 64.73429918 64.44444537 65.603863   67.9227066
 71.30434752 69.8550725  68.30917835 71.30434871 69.95168924 58.45410705
 58.26086879 60.57971001 63.28502417 60.28985381 58.55072498 42.8019321
 41.25603795]","[1.45249247 3.07968526 5.79226856 1.94680488 2.94012104 4.68972447
 3.72951911 4.32522165 2.30673037 3.7619167  6.90263689 6.73285053
 6.64211782 5.36732133 4.21814091 5.85797281 4.56668741 5.90084308
 8.36516306 7.93565658 5.63376935 5.41752377 2.50835906 3.28502352
 3.04922398]"
6,AESDD,WAV2VEC2_LARGE_XLSR,85.02415418624878,"[45.70048332 50.24154544 59.61352706 58.84058118 62.60869622 69.08212662
 70.82125545 71.40096545 68.69565368 72.36715078 68.69565129 71.78743958
 68.98550749 73.62318993 75.74879289 73.04347634 77.97101378 70.33816576
 70.04830956 66.28019333 64.54106331 61.54589534 32.17391342 25.50724655
 30.82125604]","[3.49165441 5.96378799 1.41999388 4.0809106  4.19595013 2.84983184
 2.15179385 3.82100969 7.13538221 2.37453333 8.14922976 4.79795504
 2.77346868 2.3980047  7.13538082 3.13675029 2.41739011 7.28556273
 6.4016489  9.82186331 5.44502665 6.47847508 4.9037984  5.66186905
 3.3940423 ]"
7,AESDD,WAV2VEC2_LARGE_XLSR300M,83.09178948402405,"[47.72946894 49.75845397 56.42512083 59.710145   63.86473298 66.66666746
 73.5265696  72.17391253 71.01449251 73.62318754 73.91304493 75.84540844
 72.56038666 71.30434752 72.65700459 73.2367146  77.7777791  75.36231875
 67.43961215 68.01932335 63.3816433  66.28019333 46.95652127 37.77777731
 41.15942001]","[2.23269945 1.46528985 5.27787393 3.34137496 3.89361208 3.14566586
 3.4889798  2.04045509 2.00352081 3.00294995 4.60333571 1.833204
 4.42127999 6.21369516 2.77683218 3.24211846 4.24461458 2.7835488
 9.28039318 8.94646391 3.35253199 3.10684713 3.48897871 3.25361441
 1.98949348]"
8,CaFE,HUBERT_ASR_LARGE,82.47863054275513,"[41.7094022  52.47863412 58.63247991 61.79487228 64.10256386 66.66666746
 68.97435904 74.87179399 76.83760643 75.64102411 79.74358916 79.572649
 76.83760643 78.88888955 79.65812087 80.25640965 75.64102411 76.32478595
 76.49572611 70.51282048 72.13675261 68.63247871 61.88034177 53.41880441
 40.68376124]","[2.42650747 2.11786459 1.97508028 2.39621374 1.14670146 4.28204166
 3.27251205 2.45345232 1.78056946 2.22878701 2.79056765 2.21893161
 0.82866207 1.13388866 2.25485558 1.36216826 3.19799758 1.28489642
 1.89196088 5.57196808 3.83569196 3.63222666 4.37820442 3.23207974
 5.9792415 ]"
9,CaFE,HUBERT_BASE,73.07692170143127,"[43.50427389 48.20512891 65.12820601 65.2136755  68.20512891 69.48717952
 62.22222328 71.19658113 67.52136946 64.78632569 67.52136827 67.09401727
 61.36752248]","[2.54120818 9.58790025 2.45642863 1.5432036  2.48598883 1.39397497
 1.72217517 1.92260096 1.0811205  4.65478549 2.76954825 2.68925311
 2.84244127]"
